TotalVisits,Total Time Spent on Website,Page Views Per Visit,EngagementScore,TimePerVisit,Lead Source,Do Not Email,Do Not Call,Converted,PredictedProbability,Priority
16.0,53,16.0,256.0,3.1176470588235294,Referral Sites,No,No,0,1.0,High Priority
1.0,127,1.0,1.0,63.5,Direct Traffic,No,No,0,0.0935,Low Priority
5.0,100,5.0,25.0,16.666666666666668,Organic Search,Yes,No,0,0.7666666666666667,High Priority
4.0,323,4.0,16.0,64.6,Google,Yes,No,0,0.5446,Medium Priority
2.0,160,1.0,2.0,53.333333333333336,Google,No,No,1,0.11333333333333334,Low Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
1.0,263,1.0,1.0,131.5,Google,No,No,0,0.1615,Low Priority
2.0,1218,2.0,4.0,406.0,Google,No,No,0,0.526,Medium Priority
5.0,1091,5.0,25.0,181.83333333333334,Google,No,No,1,0.9318333333333333,High Priority
4.0,291,4.0,16.0,58.2,Direct Traffic,No,No,0,0.5382,Medium Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
1.0,1759,1.0,1.0,879.5,Google,Yes,No,0,0.9095000000000001,High Priority
7.0,41,3.5,24.5,5.125,Referral Sites,No,No,0,0.740125,High Priority
5.0,386,5.0,25.0,64.33333333333333,Google,No,No,0,0.8143333333333334,High Priority
6.0,216,2.0,12.0,30.857142857142858,Referral Sites,No,No,0,0.39085714285714285,Low Priority
5.0,1603,5.0,25.0,267.1666666666667,Google,No,No,1,1.0,High Priority
7.0,106,3.5,24.5,13.25,google,No,No,0,0.74825,High Priority
2.0,73,2.0,4.0,24.333333333333332,Google,No,No,0,0.1443333333333333,Low Priority
2.0,77,2.0,4.0,25.666666666666668,Google,No,No,0,0.14566666666666667,Low Priority
3.0,718,3.0,9.0,179.5,Direct Traffic,No,No,0,0.4495,Medium Priority
5.0,432,1.67,8.35,72.0,Google,No,No,0,0.3225,Low Priority
5.0,232,2.5,12.5,38.666666666666664,Google,No,No,0,0.4136666666666667,Medium Priority
2.0,702,2.0,4.0,234.0,Direct Traffic,No,No,0,0.354,Low Priority
5.0,614,5.0,25.0,102.33333333333333,Organic Search,No,No,1,0.8523333333333334,High Priority
1.0,1808,1.0,1.0,904.0,Direct Traffic,No,No,1,0.934,High Priority
2.0,234,1.0,2.0,78.0,Direct Traffic,Yes,No,0,0.138,Low Priority
3.0,245,3.0,9.0,61.25,Direct Traffic,No,No,0,0.33125000000000004,Low Priority
8.0,1268,4.0,32.0,140.88888888888889,Organic Search,No,No,1,1.0,High Priority
2.0,56,2.0,4.0,18.666666666666668,Google,No,No,0,0.13866666666666666,Low Priority
4.0,174,2.0,8.0,34.8,Referral Sites,No,No,0,0.2748,Low Priority
4.0,1149,2.0,8.0,229.8,Direct Traffic,No,No,0,0.4698,Medium Priority
2.0,333,2.0,4.0,111.0,Direct Traffic,No,No,0,0.23099999999999998,Low Priority
7.0,471,2.33,16.310000000000002,58.875,Organic Search,No,No,0,0.5481750000000001,Medium Priority
3.0,1010,3.0,9.0,252.5,Direct Traffic,No,No,1,0.5225,Medium Priority
10.0,1815,3.33,33.3,165.0,Olark Chat,No,No,1,1.0,High Priority
2.0,47,2.0,4.0,15.666666666666666,Direct Traffic,No,No,0,0.13566666666666666,Low Priority
3.0,1528,1.5,4.5,382.0,Direct Traffic,No,No,1,0.517,Medium Priority
6.0,919,6.0,36.0,131.28571428571428,Google,No,No,1,1.0,High Priority
10.0,194,5.0,50.0,17.636363636363637,Organic Search,No,No,0,1.0,High Priority
1.0,1173,1.0,1.0,586.5,Organic Search,No,No,0,0.6165,Medium Priority
2.0,351,2.0,4.0,117.0,Google,No,No,0,0.237,Low Priority
12.0,493,12.0,144.0,37.92307692307692,Referral Sites,No,No,0,1.0,High Priority
3.0,381,1.5,4.5,95.25,Direct Traffic,No,No,0,0.23025,Low Priority
2.0,1944,2.0,4.0,648.0,Referral Sites,No,No,0,0.768,High Priority
5.0,65,5.0,25.0,10.833333333333334,Google,No,No,0,0.7608333333333334,High Priority
7.0,1334,7.0,49.0,166.75,Organic Search,No,No,0,1.0,High Priority
7.0,615,7.0,49.0,76.875,Google,No,No,0,1.0,High Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
1.0,250,1.0,1.0,125.0,Google,No,No,0,0.155,Low Priority
2.0,383,2.0,4.0,127.66666666666667,Direct Traffic,No,No,0,0.24766666666666667,Low Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
4.0,904,4.0,16.0,180.8,Referral Sites,No,No,0,0.6608,Medium Priority
1.0,164,1.0,1.0,82.0,Google,No,No,0,0.112,Low Priority
2.0,1793,2.0,4.0,597.6666666666666,Google,No,No,0,0.7176666666666667,High Priority
5.0,1841,5.0,25.0,306.8333333333333,Organic Search,No,No,0,1.0,High Priority
8.0,877,2.67,21.36,97.44444444444444,Organic Search,No,No,1,0.7382444444444444,High Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
12.0,1411,6.0,72.0,108.53846153846153,Organic Search,No,No,1,1.0,High Priority
6.0,385,6.0,36.0,55.0,Organic Search,No,No,1,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
12.0,68,1.71,20.52,5.230769230769231,Google,No,No,0,0.6208307692307692,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
3.0,192,3.0,9.0,48.0,Google,No,No,0,0.318,Low Priority
5.0,309,5.0,25.0,51.5,Google,No,No,0,0.8015,High Priority
4.0,342,4.0,16.0,68.4,Organic Search,No,No,0,0.5484,Medium Priority
2.0,78,1.0,2.0,26.0,Google,No,No,0,0.086,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
5.0,1234,1.67,8.35,205.66666666666666,Organic Search,No,No,1,0.45616666666666666,Medium Priority
8.0,14,8.0,64.0,1.5555555555555556,Organic Search,No,No,0,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
4.0,77,4.0,16.0,15.4,Referral Sites,No,No,0,0.4954,Medium Priority
3.0,1299,3.0,9.0,324.75,Referral Sites,No,No,1,0.59475,Medium Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
2.0,457,2.0,4.0,152.33333333333334,Referral Sites,No,No,0,0.2723333333333333,Low Priority
5.0,358,5.0,25.0,59.666666666666664,Organic Search,No,No,0,0.8096666666666666,High Priority
3.0,481,3.0,9.0,120.25,Direct Traffic,No,No,0,0.39025,Low Priority
2.0,205,2.0,4.0,68.33333333333333,Direct Traffic,No,No,0,0.18833333333333332,Low Priority
1.0,1106,1.0,1.0,553.0,Direct Traffic,No,No,1,0.5830000000000001,Medium Priority
9.0,1953,1.8,16.2,195.3,Direct Traffic,No,No,1,0.6813,Medium Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
5.0,207,2.5,12.5,34.5,Google,No,No,0,0.4095,Medium Priority
2.0,1587,2.0,4.0,529.0,Direct Traffic,No,No,1,0.649,Medium Priority
2.0,1509,2.0,4.0,503.0,Direct Traffic,No,No,1,0.623,Medium Priority
4.0,331,4.0,16.0,66.2,Organic Search,No,No,0,0.5462,Medium Priority
4.0,187,4.0,16.0,37.4,Direct Traffic,No,No,0,0.5174,Medium Priority
3.0,1407,1.5,4.5,351.75,Organic Search,No,No,1,0.48675,Medium Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
1.0,123,1.0,1.0,61.5,Google,No,No,0,0.0915,Low Priority
1.0,100,1.0,1.0,50.0,Organic Search,No,No,0,0.08,Low Priority
9.0,1164,4.5,40.5,116.4,Direct Traffic,No,No,1,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
1.0,1362,1.0,1.0,681.0,Direct Traffic,No,No,1,0.7110000000000001,High Priority
7.0,1051,3.5,24.5,131.375,Direct Traffic,No,No,0,0.866375,High Priority
2.0,1816,2.0,4.0,605.3333333333334,Google,No,No,0,0.7253333333333334,High Priority
7.0,74,2.33,16.310000000000002,9.25,Direct Traffic,No,No,0,0.49855000000000005,Medium Priority
13.0,54,6.5,84.5,3.857142857142857,Organic Search,No,No,0,1.0,High Priority
3.0,1183,3.0,9.0,295.75,Direct Traffic,No,No,1,0.56575,Medium Priority
3.0,66,3.0,9.0,16.5,Direct Traffic,No,No,0,0.28650000000000003,Low Priority
3.0,1122,1.5,4.5,280.5,Olark Chat,No,No,0,0.41550000000000004,Medium Priority
6.0,135,6.0,36.0,19.285714285714285,Organic Search,No,No,0,1.0,High Priority
9.0,307,1.8,16.2,30.7,Direct Traffic,No,No,0,0.5166999999999999,Medium Priority
12.0,28,6.0,72.0,2.1538461538461537,Organic Search,No,No,0,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
5.0,306,5.0,25.0,51.0,google,No,No,0,0.801,High Priority
7.0,116,7.0,49.0,14.5,Direct Traffic,No,No,1,1.0,High Priority
2.0,1054,2.0,4.0,351.3333333333333,Direct Traffic,No,No,0,0.4713333333333333,Medium Priority
3.0,195,3.0,9.0,48.75,Organic Search,No,No,1,0.31875000000000003,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
3.0,732,3.0,9.0,183.0,Google,No,No,1,0.453,Medium Priority
7.0,1130,2.33,16.310000000000002,141.25,Olark Chat,No,No,0,0.63055,Medium Priority
13.0,594,4.33,56.29,42.42857142857143,Organic Search,No,No,0,1.0,High Priority
5.0,1117,5.0,25.0,186.16666666666666,Organic Search,No,No,0,0.9361666666666667,High Priority
14.0,354,14.0,196.0,23.6,Referral Sites,No,No,0,1.0,High Priority
3.0,217,3.0,9.0,54.25,Google,No,No,0,0.32425000000000004,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
5.0,1837,2.5,12.5,306.1666666666667,Direct Traffic,No,No,1,0.6811666666666667,Medium Priority
1.0,302,1.0,1.0,151.0,Google,No,No,0,0.181,Low Priority
6.0,32,6.0,36.0,4.571428571428571,Google,No,No,0,1.0,High Priority
1.0,1226,1.0,1.0,613.0,Direct Traffic,No,No,0,0.643,Medium Priority
4.0,144,4.0,16.0,28.8,Google,No,No,0,0.5088,Medium Priority
2.0,631,1.0,2.0,210.33333333333334,Organic Search,No,No,1,0.2703333333333333,Low Priority
1.0,891,1.0,1.0,445.5,Direct Traffic,No,No,1,0.47550000000000003,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
3.0,235,3.0,9.0,58.75,Google,No,No,0,0.32875000000000004,Low Priority
2.0,453,2.0,4.0,151.0,Google,No,No,0,0.271,Low Priority
3.0,60,1.5,4.5,15.0,Referral Sites,No,No,0,0.15000000000000002,Low Priority
0.0,0,0.0,0.0,0.0,Welingak Website,No,No,1,0.0,Low Priority
9.0,96,4.5,40.5,9.6,Organic Search,No,No,0,1.0,High Priority
0.0,0,0.0,0.0,0.0,Welingak Website,No,No,1,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
11.0,825,11.0,121.0,68.75,Referral Sites,No,No,1,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
11.0,10,5.5,60.5,0.8333333333333334,Direct Traffic,No,No,0,1.0,High Priority
3.0,1154,1.0,3.0,288.5,Organic Search,No,No,1,0.37849999999999995,Low Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
6.0,104,3.0,18.0,14.857142857142858,Referral Sites,No,No,1,0.5548571428571429,Medium Priority
3.0,331,3.0,9.0,82.75,Google,No,No,0,0.35275,Low Priority
5.0,294,2.5,12.5,49.0,Google,No,No,0,0.424,Medium Priority
5.0,345,5.0,25.0,57.5,Organic Search,No,No,0,0.8075,High Priority
2.0,172,2.0,4.0,57.333333333333336,Google,No,No,0,0.17733333333333334,Low Priority
4.0,228,4.0,16.0,45.6,Google,No,No,1,0.5256,Medium Priority
5.0,26,5.0,25.0,4.333333333333333,Organic Search,No,No,0,0.7543333333333333,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
4.0,436,4.0,16.0,87.2,Referral Sites,No,No,0,0.5671999999999999,Medium Priority
5.0,1008,5.0,25.0,168.0,google,No,No,0,0.918,High Priority
17.0,71,3.4,57.8,3.9444444444444446,Referral Sites,No,No,0,1.0,High Priority
8.0,43,8.0,64.0,4.777777777777778,Google,No,No,0,1.0,High Priority
4.0,294,4.0,16.0,58.8,Google,No,No,0,0.5388,Medium Priority
2.0,1528,1.0,2.0,509.3333333333333,Organic Search,No,No,0,0.5693333333333332,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
1.0,213,1.0,1.0,106.5,Referral Sites,No,No,0,0.1365,Low Priority
4.0,31,1.33,5.32,6.2,Organic Search,No,No,1,0.1658,Low Priority
3.0,389,3.0,9.0,97.25,Google,No,No,0,0.36725,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
4.0,97,4.0,16.0,19.4,Google,No,No,0,0.49939999999999996,Medium Priority
13.0,194,13.0,169.0,13.857142857142858,Direct Traffic,No,No,0,1.0,High Priority
2.0,526,2.0,4.0,175.33333333333334,Direct Traffic,No,No,1,0.29533333333333334,Low Priority
10.0,11,10.0,100.0,1.0,Google,No,No,0,1.0,High Priority
5.0,297,2.5,12.5,49.5,Organic Search,No,No,0,0.4245,Medium Priority
4.0,174,4.0,16.0,34.8,Direct Traffic,No,No,0,0.5147999999999999,Medium Priority
4.0,12,4.0,16.0,2.4,Organic Search,No,No,0,0.4824,Medium Priority
5.0,254,1.25,6.25,42.333333333333336,Direct Traffic,No,No,1,0.22983333333333333,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
4.0,595,4.0,16.0,119.0,Google,No,No,1,0.599,Medium Priority
7.0,250,2.33,16.310000000000002,31.25,Referral Sites,No,No,0,0.5205500000000001,Medium Priority
11.0,1189,11.0,121.0,99.08333333333333,Google,No,No,0,1.0,High Priority
5.0,73,5.0,25.0,12.166666666666666,Google,No,No,0,0.7621666666666667,High Priority
3.0,491,3.0,9.0,122.75,Direct Traffic,No,No,0,0.39275000000000004,Low Priority
7.0,1281,1.75,12.25,160.125,Google,Yes,No,1,0.527625,Medium Priority
3.0,117,3.0,9.0,29.25,Organic Search,No,No,1,0.29925,Low Priority
5.0,1493,1.67,8.35,248.83333333333334,Google,No,No,0,0.49933333333333335,Medium Priority
5.0,263,2.5,12.5,43.833333333333336,Google,No,No,1,0.41883333333333334,Medium Priority
7.0,207,3.5,24.5,25.875,Google,No,No,0,0.760875,High Priority
4.0,67,4.0,16.0,13.4,Google,No,No,0,0.4934,Medium Priority
6.0,866,3.0,18.0,123.71428571428571,Referral Sites,No,No,0,0.6637142857142857,Medium Priority
6.0,419,6.0,36.0,59.857142857142854,Organic Search,No,No,0,1.0,High Priority
11.0,188,5.5,60.5,15.666666666666666,Organic Search,No,No,0,1.0,High Priority
2.0,362,2.0,4.0,120.66666666666667,Google,No,No,0,0.24066666666666667,Low Priority
3.0,199,3.0,9.0,49.75,Google,No,No,0,0.31975000000000003,Low Priority
10.0,556,5.0,50.0,50.54545454545455,Google,No,No,1,1.0,High Priority
5.0,1536,5.0,25.0,256.0,Referral Sites,No,No,1,1.0,High Priority
4.0,1088,4.0,16.0,217.6,Google,No,No,1,0.6976,Medium Priority
6.0,863,6.0,36.0,123.28571428571429,Referral Sites,No,No,1,1.0,High Priority
4.0,1410,4.0,16.0,282.0,Direct Traffic,Yes,No,0,0.762,High Priority
8.0,76,8.0,64.0,8.444444444444445,Organic Search,Yes,No,0,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
6.0,209,3.0,18.0,29.857142857142858,Direct Traffic,No,No,0,0.5698571428571428,Medium Priority
5.0,58,5.0,25.0,9.666666666666666,Google,No,No,0,0.7596666666666667,High Priority
6.0,90,2.0,12.0,12.857142857142858,Google,No,No,0,0.37285714285714283,Low Priority
7.0,950,2.33,16.310000000000002,118.75,Organic Search,No,No,1,0.6080500000000001,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
8.0,149,2.0,16.0,16.555555555555557,Google,No,No,0,0.49655555555555553,Medium Priority
4.0,3,4.0,16.0,0.6,Direct Traffic,No,No,0,0.48059999999999997,Medium Priority
7.0,901,7.0,49.0,112.625,Direct Traffic,No,No,1,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
6.0,110,3.0,18.0,15.714285714285714,Referral Sites,No,No,0,0.5557142857142857,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
